,unique_id,ds,AutoLightGBM
0,FOODS_1,2016-04-25,2694.6738511439944
1,FOODS_1,2016-04-26,2805.230420439614
2,FOODS_1,2016-04-27,2662.0380598102083
3,FOODS_1,2016-04-28,2645.027003376193
4,FOODS_1,2016-04-29,3236.588718297946
5,FOODS_1,2016-04-30,3747.51371444864
6,FOODS_1,2016-05-01,3172.307149809725
7,FOODS_1,2016-05-02,2657.3513449500338
8,FOODS_1,2016-05-03,2691.9787279391626
9,FOODS_1,2016-05-04,2746.2863197867673
10,FOODS_1,2016-05-05,2762.255340569623
11,FOODS_1,2016-05-06,3257.194144588295
12,FOODS_1,2016-05-07,3799.031472854631
13,FOODS_1,2016-05-08,3252.8382373569984
14,FOODS_1,2016-05-09,2786.334069555473
15,FOODS_1,2016-05-10,2820.205574835855
16,FOODS_1,2016-05-11,2762.5056712532564
17,FOODS_1,2016-05-12,2786.88595237666
18,FOODS_1,2016-05-13,3309.4905882795897
19,FOODS_1,2016-05-14,3796.0201508972023
20,FOODS_1,2016-05-15,3273.3752810082988
21,FOODS_1,2016-05-16,2742.19182422212
22,FOODS_1,2016-05-17,2823.468902301943
23,FOODS_1,2016-05-18,2854.8557474617855
24,FOODS_1,2016-05-19,2871.135690726362
25,FOODS_1,2016-05-20,3331.1931287348802
26,FOODS_1,2016-05-21,3781.1473608863216
27,FOODS_1,2016-05-22,3405.544149448268
28,FOODS_2,2016-04-25,5120.102523686289
29,FOODS_2,2016-04-26,5185.27038248254
30,FOODS_2,2016-04-27,5115.111348340718
31,FOODS_2,2016-04-28,4619.394726238464
32,FOODS_2,2016-04-29,5432.537671232106
33,FOODS_2,2016-04-30,6025.41273018486
34,FOODS_2,2016-05-01,6220.986523247984
35,FOODS_2,2016-05-02,4964.5749171463885
36,FOODS_2,2016-05-03,5103.670724855448
37,FOODS_2,2016-05-04,5144.3979512523165
38,FOODS_2,2016-05-05,5218.996763184711
39,FOODS_2,2016-05-06,5439.347347215497
40,FOODS_2,2016-05-07,5865.1687497733365
41,FOODS_2,2016-05-08,6368.92258946046
42,FOODS_2,2016-05-09,5186.848082254273
43,FOODS_2,2016-05-10,4880.374441261076
44,FOODS_2,2016-05-11,4909.098152984957
45,FOODS_2,2016-05-12,5081.108905626409
46,FOODS_2,2016-05-13,5407.15017000438
47,FOODS_2,2016-05-14,5830.236827339688
48,FOODS_2,2016-05-15,6618.276011160659
49,FOODS_2,2016-05-16,5242.077035682606
50,FOODS_2,2016-05-17,5003.983891141501
51,FOODS_2,2016-05-18,4958.840167821236
52,FOODS_2,2016-05-19,4762.949855746844
53,FOODS_2,2016-05-20,5389.750344472496
54,FOODS_2,2016-05-21,5942.651453698519
55,FOODS_2,2016-05-22,6269.243619511553
56,FOODS_3,2016-04-25,17711.385739545563
57,FOODS_3,2016-04-26,16357.865618151673
58,FOODS_3,2016-04-27,16557.86563355973
59,FOODS_3,2016-04-28,16163.752858976526
60,FOODS_3,2016-04-29,18881.115214451296
61,FOODS_3,2016-04-30,23092.123636884276
62,FOODS_3,2016-05-01,23294.58207237022
63,FOODS_3,2016-05-02,17732.312728761386
64,FOODS_3,2016-05-03,16215.758103512571
65,FOODS_3,2016-05-04,16609.186712046285
66,FOODS_3,2016-05-05,17115.71866090232
67,FOODS_3,2016-05-06,18163.574602023327
68,FOODS_3,2016-05-07,22698.015289239014
69,FOODS_3,2016-05-08,22955.84590815469
70,FOODS_3,2016-05-09,17924.510549950868
71,FOODS_3,2016-05-10,16652.368043668524
72,FOODS_3,2016-05-11,16706.713769910348
73,FOODS_3,2016-05-12,17070.997700996042
74,FOODS_3,2016-05-13,18438.390974654023
75,FOODS_3,2016-05-14,22698.015289239014
76,FOODS_3,2016-05-15,22955.84590815469
77,FOODS_3,2016-05-16,18333.211272508892
78,FOODS_3,2016-05-17,16812.741370928095
79,FOODS_3,2016-05-18,16706.713769910348
80,FOODS_3,2016-05-19,16479.679299243857
81,FOODS_3,2016-05-20,18502.532285923797
82,FOODS_3,2016-05-21,22698.015289239014
83,FOODS_3,2016-05-22,22955.84590815469
84,HOBBIES_1,2016-04-25,3226.027840439743
85,HOBBIES_1,2016-04-26,3195.3648189304345
86,HOBBIES_1,2016-04-27,3172.479599244583
87,HOBBIES_1,2016-04-28,3215.297092249357
88,HOBBIES_1,2016-04-29,3550.478555688749
89,HOBBIES_1,2016-04-30,4315.818469198181
90,HOBBIES_1,2016-05-01,4321.600390227421
91,HOBBIES_1,2016-05-02,3157.8276654934016
92,HOBBIES_1,2016-05-03,3208.8238007824716
93,HOBBIES_1,2016-05-04,3171.402461945512
94,HOBBIES_1,2016-05-05,3122.93302254743
95,HOBBIES_1,2016-05-06,3534.892640584684
96,HOBBIES_1,2016-05-07,4261.123354991392
97,HOBBIES_1,2016-05-08,4296.069679132532
98,HOBBIES_1,2016-05-09,3273.3972145241705
99,HOBBIES_1,2016-05-10,3221.5792680507666
100,HOBBIES_1,2016-05-11,3200.345723427872
101,HOBBIES_1,2016-05-12,3245.4991334325614
102,HOBBIES_1,2016-05-13,3568.3027303655
103,HOBBIES_1,2016-05-14,4320.567307842713
104,HOBBIES_1,2016-05-15,4343.116200412291
105,HOBBIES_1,2016-05-16,3289.762766694878
106,HOBBIES_1,2016-05-17,3267.984449690506
107,HOBBIES_1,2016-05-18,3200.345723427872
108,HOBBIES_1,2016-05-19,3208.1360951146366
109,HOBBIES_1,2016-05-20,3615.44813501723
110,HOBBIES_1,2016-05-21,4326.047999208027
111,HOBBIES_1,2016-05-22,4344.900175442336
112,HOBBIES_2,2016-04-25,339.77407251192693
113,HOBBIES_2,2016-04-26,397.4010613540528
114,HOBBIES_2,2016-04-27,382.61025056378617
115,HOBBIES_2,2016-04-28,393.55441552694975
116,HOBBIES_2,2016-04-29,412.81304016665115
117,HOBBIES_2,2016-04-30,416.1985117603962
118,HOBBIES_2,2016-05-01,467.8505902120062
119,HOBBIES_2,2016-05-02,359.72499730411994
120,HOBBIES_2,2016-05-03,400.9547760594411
121,HOBBIES_2,2016-05-04,384.0621884160096
122,HOBBIES_2,2016-05-05,384.0621884160096
123,HOBBIES_2,2016-05-06,412.81304016665115
124,HOBBIES_2,2016-05-07,405.2543467972324
125,HOBBIES_2,2016-05-08,467.8505902120062
126,HOBBIES_2,2016-05-09,380.6591071937099
127,HOBBIES_2,2016-05-10,400.9547760594411
128,HOBBIES_2,2016-05-11,400.9547760594411
129,HOBBIES_2,2016-05-12,400.9547760594411
130,HOBBIES_2,2016-05-13,412.81304016665115
131,HOBBIES_2,2016-05-14,416.1985117603962
132,HOBBIES_2,2016-05-15,467.8505902120062
133,HOBBIES_2,2016-05-16,390.6243107525114
134,HOBBIES_2,2016-05-17,411.89894102260484
135,HOBBIES_2,2016-05-18,400.9547760594411
136,HOBBIES_2,2016-05-19,400.9547760594411
137,HOBBIES_2,2016-05-20,412.81304016665115
138,HOBBIES_2,2016-05-21,416.1985117603962
139,HOBBIES_2,2016-05-22,467.8505902120062
140,HOUSEHOLD_1,2016-04-25,7160.832175743806
141,HOUSEHOLD_1,2016-04-26,6971.744965808053
142,HOUSEHOLD_1,2016-04-27,6676.608231213473
143,HOUSEHOLD_1,2016-04-28,6640.7455196004885
144,HOUSEHOLD_1,2016-04-29,7565.152447398786
145,HOUSEHOLD_1,2016-04-30,9465.935601433835
146,HOUSEHOLD_1,2016-05-01,9702.66861697589
147,HOUSEHOLD_1,2016-05-02,7205.825513464553
148,HOUSEHOLD_1,2016-05-03,7113.679030081171
149,HOUSEHOLD_1,2016-05-04,6649.31399566832
150,HOUSEHOLD_1,2016-05-05,6674.348708680196
151,HOUSEHOLD_1,2016-05-06,7697.496157413757
152,HOUSEHOLD_1,2016-05-07,9399.00971175823
153,HOUSEHOLD_1,2016-05-08,9439.07736476184
154,HOUSEHOLD_1,2016-05-09,7493.79860897777
155,HOUSEHOLD_1,2016-05-10,7002.1844984992185
156,HOUSEHOLD_1,2016-05-11,6661.775405589411
157,HOUSEHOLD_1,2016-05-12,6764.480000367033
158,HOUSEHOLD_1,2016-05-13,7598.947495707824
159,HOUSEHOLD_1,2016-05-14,9399.00971175823
160,HOUSEHOLD_1,2016-05-15,9439.07736476184
161,HOUSEHOLD_1,2016-05-16,7534.459703980786
162,HOUSEHOLD_1,2016-05-17,7229.353310975897
163,HOUSEHOLD_1,2016-05-18,6699.882771137218
164,HOUSEHOLD_1,2016-05-19,6764.480000367033
165,HOUSEHOLD_1,2016-05-20,7697.496157413757
166,HOUSEHOLD_1,2016-05-21,9399.00971175823
167,HOUSEHOLD_1,2016-05-22,9314.773035693921
168,HOUSEHOLD_2,2016-04-25,1891.769292418806
169,HOUSEHOLD_2,2016-04-26,1805.813605315031
170,HOUSEHOLD_2,2016-04-27,1758.0613497523343
171,HOUSEHOLD_2,2016-04-28,1800.1115326528136
172,HOUSEHOLD_2,2016-04-29,1959.4740469519804
173,HOUSEHOLD_2,2016-04-30,2660.449142902388
174,HOUSEHOLD_2,2016-05-01,2619.654508404448
175,HOUSEHOLD_2,2016-05-02,1839.0080089551213
176,HOUSEHOLD_2,2016-05-03,1829.4970368277027
177,HOUSEHOLD_2,2016-05-04,1823.5007626046254
178,HOUSEHOLD_2,2016-05-05,1811.520891959066
179,HOUSEHOLD_2,2016-05-06,1977.7038269928182
180,HOUSEHOLD_2,2016-05-07,2816.242000429492
181,HOUSEHOLD_2,2016-05-08,2634.914005288675
182,HOUSEHOLD_2,2016-05-09,1878.4366945999661
183,HOUSEHOLD_2,2016-05-10,1815.8433855980848
184,HOUSEHOLD_2,2016-05-11,1811.1689759986775
185,HOUSEHOLD_2,2016-05-12,1811.520891959066
186,HOUSEHOLD_2,2016-05-13,1977.7038269928182
187,HOUSEHOLD_2,2016-05-14,2753.4834680201943
188,HOUSEHOLD_2,2016-05-15,2586.938159190155
189,HOUSEHOLD_2,2016-05-16,1857.353491565642
190,HOUSEHOLD_2,2016-05-17,1829.4970368277027
191,HOUSEHOLD_2,2016-05-18,1811.520891959066
192,HOUSEHOLD_2,2016-05-19,1811.520891959066
193,HOUSEHOLD_2,2016-05-20,1977.7038269928182
194,HOUSEHOLD_2,2016-05-21,2861.6326484548927
195,HOUSEHOLD_2,2016-05-22,2645.9665234893946
